ID,YEAR,MONTH,DAY,HOUR,MINUTE,LATITUDE,LONGITUDE,LOCATION_NAME,COUNTRY,REGION,CAUSE,EVENT_VALIDITY,EQ_MAGNITUDE,EQ_DEPTH,TS_INTENSITY,DAMAGE_TOTAL_DESCRIPTION,HOUSES_TOTAL_DESCRIPTION,DEATHS_TOTAL_DESCRIPTION,URL,COMMENTS,eq,distance_to_city,city_name,city_pop,water_temp_change
1886,1959,1.0,22.0,5.0,10.0,37.5,142.2,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.8,40.0,-2.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1886,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1959, January 22, 14:10 local time. There was an earthquake with source off the coast of Fukushima Prefecture, which was felt in the northern part of Honshu Island. It caused a weak tsunami which was registered by tide gauges.",1.0,144.80265023780763,Sendai,2327417,-2.505
1887,1959,2.0,7.0,9.0,36.0,-4.0,-81.5,N. PERU,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,19.0,-2.0,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1887,"February 7, 1959, 4:38 [local time], Feb. 9 9:36:51 UTC, 4 S, 81.5 W, magnitude 7.1 MS. There was a strong earthquake on the northwest coast of Peru, between Tumbes amd Chiclayo. At Talara, light damage to several concrete homes (6 degrees). Underground rumbling and strong tremors frightened the residents at Tumbes, Paita, Piura, Talara, Sulyan, Chulucanas and Chiclayo. Some families abandoned their homes, despite the early hour. It was felt very strongly at Guayaquil. Traces of the tsunami were found on the tide gauge record at Talara. <b>Iida's catalogue (Iida et al., 1967) notes that oscillations in level at Talara with a period of 22 minutes and an amplitude of 20 cm began an hour before the earthquake, and expresses doubt as to the actuality of the tsunami</b> (reference #415).
<P>February 7, 1959 09:37 UTC, 4 S, 81.5 S, magnitude 7.25-7.5 MS. Source Peru-Ecuador, tsunami observation Talara, Peru, 0.2 m, period 22 min. Oscillations shown by mareographic record mentioned by Eppley and Cloud (1961) and by Berninghausen (1962) began one hour before quake. Tsunami is questionable. (reference #79)
<P>February 7, 1959, Peru. Epicenter 4 S., 81.5 W. Magnitude 7.25-7.5 MS. The shock was felt strongly at
Guayaquil. There was evidence of a tsunami on the tide gage at Talara. (reference #39)",1.0,245.03911151598606,Guayaquil,2994218,-6.208
1889,1959,4.0,9.0,12.0,24.0,44.3,149.0,S. KURIL ISLANDS,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Questionable Tsunami,5.0,40.0,-2.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1889,"1959, April 9, 12:24 UTC. 44.3 N, 149 E, depth 40 km, magnitude 5.0. (reference #3458)",1.0,631.4120303293047,Sapporo,2669680,-2.505
1892,1959,8.0,17.0,21.0,4.0,-7.5,156.0,SOLOMON ISLANDS,SOLOMON ISLANDS,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Definite Tsunami,7.3,33.0,,Severe (~>$5 to $24 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1892,"At Binskin islet (or Inia) south of Vella and off the north coast of the small Baga Island, the wave approached Supato in the east, through the Beagle Channel... The water rose about 3 1/2 feet above the present low water mark... The west side of Supato Bay and all that coastline further NW for three miles or so had just subsided about 12 inches, and was immediately swept by the wave, which damaged houses along the shore. At Binskin Islet ... The two jetties were destroyed only one shore of one jetty remaining intact, being braced and strongly made. (reference #99)",1.0,2232.4396705265626,Brisbane,2406182,-6.208
1890,1959,5.0,4.0,7.0,15.0,52.5,159.5,KAMCHATKA,RUSSIA,Kamchatka and Kuril Islands,Earthquake,Definite Tsunami,8.2,60.0,1.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1890,"May 4, 1959, at 07:15:42 UTC, depth 60 km, magnitude 8, 52.5 N, 159.5 E, one killed and 13 injured at Petropavlovsk. Buildings damaged at Petropavlovsk. The earthquake produced a small tsunami that was recorded on tide gauges in the Aleutian Islands and Hawaii. A maximum height of 1.4 feet was recorded at Kahului. (reference #45)
<P>Reference #223 lists tsunami intensity 1.",1.0,1709.5130605013562,Sapporo,2669680,-2.505
4250,1959,5.0,7.0,,,69.817,20.917,NORTHERN NORWAY,NORWAY,Northeast Atlantic Ocean,Landslide,Definite Tsunami,,,4.0,Limited (<$1 million),,Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/4250,"Data from Jørstad (1968). Submarine clay slide outside Sokkelvik in the fjord Reisafjorden, Nordreisa, Troms. 3-4 million cubic meters of material located along the shoreline was released and generated one wave propagating mostly outwards into the fjord. Run-up of one small and long wave followed by 2 larger ones of up to 4 m height observed at the head of the fjord. About 2 minutes between first and third wave. Wave noticeable 8 km away. Numerical simulation of submarine slide by Norem et al. (1989), Brænd (1961). (reference #11164)
<P>The Sokkelvik landslide and associated tsunami led to nine casualties and is considered one of the most devastating Norwegian quick clay landslide of the past century. In this paper we review the potential causes for this landslide based on an integrated study of eye witness testimony, swath bathymetry data and stability analyses. Results show that the Sokkelvik landslide was most likely triggered by intense rainfall and snowmelt, but that the main cause is associated to the load of an up to 7.5 m high embankment fill. This fill was placed at the shoreline for road construction 6 months before the landslide. Results presented herein show the importance of accounting for extreme rainfall events and groundwater flow when planning construction activity in sensitive near shore areas. (reference #11863)",0.0,1091.8910410496803,Helsinki,1304851,-2.505
1893,1959,10.0,26.0,7.0,35.0,37.5,143.2,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,10.0,-4.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1893,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1959, October 26, 16:35 local time. An earthquake with source off the coast of Miyagi Prefecture caused a very weak tsunami which was registered by tide gauges.",1.0,222.0406191868437,Sendai,2327417,-2.505
1888,1959,2.0,23.0,,,40.63,22.97,"GRECIAN ARCHIPELAGO, CRETE",GREECE,Mediterranean Sea,Unknown,Very Doubtful Tsunami,,,3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1888,"1959, February 23. Aegean Sea, islands and northern Greece. Waves of the following heights were observed: 1 m in Thessaloniki, 0.5 m on the Island of Crete, 0.3 m
in the Strait of Salaminu (Piraeus) and on the Island of Leros. There was no earthquake. Most likely, seiche oscillations of the sea took place. (reference #2130)
<P>On 7 May 1991 an exceptional sea-wave was observed in the Laki Bay, Leros Island, SE Aegean Sea, Greece. The oscillatory nature of the wave and its period (12 mins), as
indicated from tide-gauge records, are consistent with a seiche disturbance expected from the dimensions of the Laki Bay water volume. The lack of any tectonic movement implies that this seiche probably was a storm surge. On the basis of this evidence earlier Aegean seawaves not correlated with tectonic movements may also be interpreted as storm surges. This includes the sea-waves observed on 23-25 April 1928, 23 February 1959 and 6 June 1961.(reference #2753)",0.0,3.153400029453887,Thessaloniki,812166,-2.505
1901,1960,5.0,21.0,10.0,2.0,-37.872,-73.243,CENTRAL CHILE,CHILE,West Coast of South America,Earthquake,Definite Tsunami,8.2,35.0,-1.0,Limited (<$1 million),,Few (~1 to 50 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1901,"May 21, 1960, 10:02:50 UTC, 37.5 S, 73.5 W, magnitude 7.5 MS. A very small tsunami of scientific interest only, was generated a day earlier [May 21, 1960] by a foreshock centered at 37.5 south, 73.5 west. The wave was detectable on some tide records from Chile, the Hawaiian Islands and the west coast of the United States. (reference #45)
<P>A strong preliminary earthquake occurred on May 21 [1960] at 6:00; it was accompanied by a mild tsunami. (reference #415) 
<P>May 21, 1960, 10:03 UTC, 37.5 S, 73.5 W, magnitude 7.5 MS. Valapraiso, Chile runup height 0.3 m. (reference #79)
<P>May 21, 1960, 10:01 UTC, 37.5 S, 73.5 W, magnitude 7.5 MS, depth 33 km. (reference #164)",1.0,117.22046677565086,Concepcion,880722,-3.892
1897,1960,2.0,29.0,23.0,40.0,30.5,-9.5,MOROCCO,MOROCCO,West Coast of Africa,Earthquake,Very Doubtful Tsunami,6.8,,,Extreme (~$25 million or more),Many (~101 to 1000 houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1897,"Agadir was destroyed by two shocks and the accompanying fire. Early reports mention a tsunami wave, which reached 300 yards inland and did great damage in the area close to the sea. Since no wave was recorded on a local tide gage and a fishing boat slip was not damaged, later sources have denied the existence of the wave. (Reference #41)
<P>One of the most universally accepted was the report of a tidal wave following the earthquake which swept inland for a distance of several hundred yards along the edge of the bay. No reporter who examined the waterfront after the
earthquake was able to find any evidence of high water, however, and no reliable witness of the phenomenon has been found, so this report must be discounted completely... As was, stated in Chapter 1, there as no evidence of heavy tidal waves sweeping into the harbor. However, a Dutch intercoastal freighter which was moored along the side of the quay at the time of the earthquake reported that large
swells raised the level of water in the harbor sufficiently
to cause parting of its mooring lines. (reference #1183)",1.0,11.83699866704886,Agadir,923552,-1.587
1905,1960,7.0,29.0,17.0,31.0,40.3,142.5,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,30.0,-3.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1905,"July 30, 1960, 2:31 [local time], 40.2 N, 142.6 E, depth 30 km, magnitude 7. An earthquake occurred with source off the coast of Iwate Prefecture, accompanied by a very weak tsunami, which was barely registered by tide gauges. (reference #414)
<P>July 30, 1960, 02:31 local time, 40.3 N, 142.5 E, magnitude 6.7. Miyako 10 cm. (peak-trough). (reference #150)",1.0,265.8894854200119,Sendai,2327417,-1.587
1898,1960,3.0,20.0,17.0,7.0,39.8,143.4,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,7.5,20.0,-2.0,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1898,"March 21, 1960, 2:07 local time, March 20 17:07 UTC, 39.8 N, 143.5 E, 20 km depth, magnitude 7.5). An earthquake with source 120 km long off the coast of Iwate Prefecture caused slight destruction. A weak tsunami arose, which was registered by tide gauges. (reference #414)
<P>March 21, 1960, 02:07 (local time). 39.8 N, 143.4 E, magnitude 7.5. Onagawa l m (amplitude). Hachinohe 1cm, Miyako 33cm, Ayukawa 42cm, Onahama 51cm, Kushiro trace,
Kamaishi 30cm (peak-trough). (reference #150)",1.0,277.38667684377805,Sendai,2327417,-1.587
1906,1960,11.0,1.0,8.0,45.0,-38.5,-75.1,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.4,55.0,,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1906,"November 1, 1960, 08:46 UTC, 38.5 S, 75.1 W, magnitude 7.2 MS, depth 55 km. (reference #164)
<P>
November 1, 1960, 08:46 UTC, 38.5 S, 75.1 W, magnitude 7.4 MS, depth 55 km. (reference #552)",1.0,259.18509273221486,Concepcion,880722,-3.892
1896,1960,1.0,13.0,15.0,40.0,-15.75,-72.75,S. PERU,PERU,West Coast of South America,Earthquake,Very Doubtful Tsunami,7.8,160.0,3.0,Limited (<$1 million),,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1896,"On January 13, 1960, at 10:40 [local time] there was a destructive magnitude 7.8 earthquake in the Arequipa Department [15.75 S, 72.75 W, depth 130-200 km]. A tidal wave fell on the pacific resort of Ancon. The spray almost reached the top of the ten-story homes, standing on the embankment. That the wave was connected with the earthquake is doubtful. (reference #415)
<P>Reference #552 lists maximum runup height of 5.7 m.",1.0,148.32582526971746,Arequipa,922999,-3.892
1902,1960,5.0,22.0,19.0,11.0,-38.143,-73.407,SOUTHERN CHILE,CHILE,West Coast of South America,Earthquake,Definite Tsunami,9.5,33.0,4.0,Extreme (~$25 million or more),Very Many (~1001 or more houses),Very Many (~1001 or more people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1902,"<P><blockquote><i>Reference #415:</i></blockquote> 
<P>1960, May 22, 1960, 15:12 [local time]. There was a catastrophic earthquake and tsunami with source in the southern part of Central Chile. The maximal rise of water was 25(?) m in Chile, 10 1/2 m on the Hawaiian Islands, 6-9
m in Oceania, 6 1/2 m in Japan and the USSR, 3 1/2 m in the USA, 3(?) m in the Aleutian Islands, 2 m in New Zealand, and 1-1 1/2 at other places in the Pacific. About 1000 people died in Chile, 60 people on the Hawaiian Islands, and 200 in Japan. A strong preliminary earthquake occurred on May 21 at 6:00; it was accompanied by a mild tsunami.
<P>About 1000 people died in Chile, 60 people on the Hawaiian Islands, and 200 in Japan. 
<P><blockquote><i>Reference #3434:</i></blockquote> 
Known deaths from the earthquake numbered about 500, and, from the maremotos, about 1,000. The number of injured ran into thousands, and there are still numbers of persons missing and unaccounted for. 
<P><blockquote><i>Reference #2479:</i></blockquote> 
In total the 1960 tsunami took an estimated 1,000 lives in Chile. It also claimed 61 in Hawaii and 138 in Japan. (p. 10)
<P><blockquote><i>Reference #237:</i></blockquote> 
A great magnitude 8.6 earthquake off the coast of Chile caused 25-m runup there resulting in $550 million in damage and 1,000 deaths. It caused another $24 million in damage in Hawaii and 61 deaths and about $500,000 to $1,000,000 in damage on the U.S. west coast. In Japan the waves were more than 6-m high causing 199 fatalities and $50 million in damage. 
<P><blockquote><i>Reference #164:</i></blockquote> 
<P>Material damage approached half a billion dollars and loss of life was estimated at 2000, mainly due to the tsunami. 
<P><blockquote><i>Reference #3434:</i></blockquote> 
<P>A group of mapuchis or Araucanian Indians sacrificed a 7-year-old boy to the gods of the sea to calm the remorseless surf.
<P><blockquote><I>Reference #5399:</i></blockquote> 
We conclude that the largest tsunami of record was observed-and simultaneously achieved maximum intensity-in all oceans, except the Arctic, from which we have no records. <I>The 22 May 1960 Chile, 27 August 1883 Krakatau, and 26 December 2004 Indonesia tsunamis are the only known global tsunamis.</I>

<P>View a calculated <a href=""https://www.ngdc.noaa.gov/hazard/data/icons/1960_0522.jpg"">tsunami-travel-time map</a>.",1.0,149.4188761203361,Concepcion,880722,-3.892
1907,1960,11.0,20.0,22.0,1.0,-6.8,-80.7,N. PERU,PERU,West Coast of South America,Earthquake,Probable Tsunami,6.8,93.0,4.0,Limited (<$1 million),,Some (~51 to 100 people),https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1907,"There was an earthquake in northwest Peru, felt by a large number of residents. Several hours later, a tsunami fell on the coast of Lambayeque department. The first wave about 9 m high did material damage at Puerto Eten and Pimentel ports and in Santa Rosa and San Jose Bays; <B>three persons died</B>. The Lobos de Afuera Islands were completely devastated. The first was was followed by two others of similar size.
<P>According to other sources, the Guanape Islands also suffered; <B>13 people died, 50 disappeared</B>, 2 were seriously injured, and more than 800 were left homeless. The losses were estimated at more than <B>550,000 dollars</B>.
<P>The tsunami was registered at the follow tide gauge stations: Talara with an amplitude of 10 cm, Chimbote 70 cm, Callao 50 cm, Matarani 10 cm, Hilo 10 cm, with a 14-minute period.<BR>
(above from Reference #415)",1.0,95.0498051584058,Chiclayo,637255,-3.892
1904,1960,6.0,11.0,15.0,14.0,-9.4,152.3,SOLOMON SEA,PAPUA NEW GUINEA,"New Caledonia, New Guinea, Solomon Is., Vanuatu",Earthquake,Probable Tsunami,6.6,33.0,0.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1904,"<P><blockquote><i>Reference #99:</i></blockquote> 
<P>1960, June 11, 15:14:09 UTC, epicenter 9.4S, 152.3E, magnitude 6.6, shallow depth. 
<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1960, June 12, 2:38 [local time], validity 3. There was an earthquake which was felt on Hurua Island (Woodlark). There were numerous aftershocks for many weeks. There were many small tsunamis on the southeastern coast of the island. (11.VI; 16h37m45s; 9<sup>o</sup> S., 152.5 <sup>o</sup>E.; M-7.",1.0,2001.547746110148,Brisbane,2406182,-3.892
1899,1960,3.0,23.0,0.0,23.0,39.4,143.7,SANRIKU,JAPAN,Japan,Earthquake,Definite Tsunami,6.7,20.0,-2.5,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1899,"March 23, 1960, 09:30 [local time], 39.3 N, 143.8 E, depth 20 km, magnitude 6.7 MS. An aftershock of the preceding earthquake (March 20, 1960) caused a weak tsunami which was registered by tide gauges.  (reference #414)
<P>March 23, 1960, 09:23 (local time), 39.4 N, 143.7 E, magnitude 6.7 MS. Hachinohe-Miyako 16 cm (range), Kamaishi 20 cm (range), Ayukawa 29 cm (range), Taro 150 cm (range). (reference #150)",1.0,276.0528184285463,Sendai,2327417,-1.587
1911,1961,1.0,16.0,11.0,19.0,36.0,141.9,"KASHIMA, JAPAN",JAPAN,Japan,Earthquake,Definite Tsunami,6.4,20.0,-2.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1911,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1961, January 16, 20:19 local time, validity 3. An aftershock of the preceding earthquake (January 16, 16:20 local time) was accompanied by a weak tsunami. The wave was registered at Onahama with a height of 20 cm.",1.0,196.55651260883502,Tokyo,37393128,-1.936
1924,1961,8.0,11.0,15.0,51.0,42.9,145.6,SE. HOKKAIDO ISLAND,JAPAN,Japan,Earthquake,Definite Tsunami,7.0,80.0,-4.0,,,,https://www.ngdc.noaa.gov/hazel/view/hazards/tsunami/event-more-info/1924,"<P><blockquote><i>Reference #414:</i></blockquote> 
<P>1961, August 12, 0:51 local time. An earthquake off the southeastern shore of Hokkaido Island was accompanied by a weak tsunami.",1.0,346.7356889703441,Sapporo,2669680,-1.936
